Fichier;Nb Sommets;Nb Arcs;Kruskal 1 (en ms);Kruskal 2 (en ms);Prim (en ms);Poids Total
connexe.gsb;5;5;1,6498;0,7757;0,6435;28
crd1000.gsb;100;4950;15,2663;4416,7657;28,8039;6154
crd300.gsb;30;435;0,5301;14,3544;0,5942;3624
crd500.gsb;50;1225;1,308;151,2244;1,3149;4910
crd700.gsb;70;2415;3,4054;787,3958;3,1775;5761
peterson.gsb;10;15;0,0348;0,0759;0,0084;253
peterson_double.gsb;10;15;0,032;0,043;0,0077;253
petitGraph.gsb;7;11;0,0356;0,0295;0,008;39
shrd150.gsb;15;105;0,1168;0,537;0,0278;164
shrd200.gsb;20;190;0,1404;1,6574;0,0431;157
shrd300.gsb;30;435;0,3392;9,6745;0,0942;274
str1000.gsb;100;4950;7,1667;4467,2199;10,7908;4261
str300.gsb;30;435;0,5497;13,887;0,1814;3457
str500.gsb;50;1225;0,8041;158,6626;1,0203;3659
str700.gsb;70;2415;2,1418;774,5266;3,6143;3956
sym300.gsb;30;435;0,3535;14,7108;0,2151;958
sym500.gsb;50;1225;0,674;155,3983;1,1124;1098
sym700.gsb;70;2415;2,6019;893,5832;2,9859;1177
