Fichier;Nb Sommets;Nb Arcs;Prim;2-MST;Poids d-MST;Rapport;;Fichier;Nb Sommets;Nb Arcs;Prim;3-MST;Poids d-MST;Rapport;;Fichier;Nb Sommets;Nb Arcs;Prim;4-MST;Poids d-MST;Rapport;;Fichier;Nb Sommets;Nb Arcs;Prim;5-MST;Poids d-MST;Rapport;;
connexe.gsb;5;5;0,4646;0,117;28;1,0;;connexe.gsb;5;5;0,0671;0,0506;28;1,0;;connexe.gsb;5;5;0,0444;0,0445;28;1,0;;connexe.gsb;5;5;0,0325;0,0412;28;1,0;;
crd1000.gsb;100;4950;42,5337;2970,0496;8939;1,4525511862203444;;crd1000.gsb;100;4950;11,7359;12,25;6155;1,0001624959376016;;crd1000.gsb;100;4950;12,8821;14,4511;6154;1,0;;crd1000.gsb;100;4950;11,8521;13,1206;6154;1,0;;
crd300.gsb;30;435;0,5658;4,6628;4209;1,1614238410596027;;crd300.gsb;30;435;0,501;0,5454;3624;1,0;;crd300.gsb;30;435;0,4583;0,5457;3624;1,0;;crd300.gsb;30;435;0,5211;0,4688;3624;1,0;;
crd500.gsb;50;1225;1,5862;15,5037;6048;1,2317718940936864;;crd500.gsb;50;1225;1,4728;1,4516;4910;1,0;;crd500.gsb;50;1225;1,7403;1,3688;4910;1,0;;crd500.gsb;50;1225;1,231;2,0144;4910;1,0;;
crd700.gsb;70;2415;3,8265;149,9491;7013;1,2173233813574031;;crd700.gsb;70;2415;4,3627;3,2189;5761;1,0;;crd700.gsb;70;2415;4,2829;4,2329;5761;1,0;;crd700.gsb;70;2415;3,8037;4,284;5761;1,0;;
peterson.gsb;10;15;0,0086;0,0104;403;1,592885375494071;;peterson.gsb;10;15;0,0081;0,0068;253;1,0;;peterson.gsb;10;15;0,0071;0,0056;253;1,0;;peterson.gsb;10;15;0,0104;0,0063;253;1,0;;
peterson_double.gsb;10;15;0,0086;0,0099;403;1,592885375494071;;peterson_double.gsb;10;15;0,0077;0,0061;253;1,0;;peterson_double.gsb;10;15;0,007;0,0052;253;1,0;;peterson_double.gsb;10;15;0,0084;0,0064;253;1,0;;
petitGraph.gsb;7;11;0,0055;0,0057;41;1,0512820512820513;;petitGraph.gsb;7;11;0,0062;0,0046;39;1,0;;petitGraph.gsb;7;11;0,0072;0,0057;39;1,0;;petitGraph.gsb;7;11;0,0067;0,0059;39;1,0;;
shrd150.gsb;15;105;0,0256;0,351;1196;7,2926829268292686;;shrd150.gsb;15;105;0,0228;0,1348;801;4,884146341463414;;shrd150.gsb;15;105;0,0208;0,0706;508;3,097560975609756;;shrd150.gsb;15;105;0,0216;0,0431;379;2,3109756097560976;;
shrd200.gsb;20;190;0,0298;1,6533;2230;14,203821656050955;;shrd200.gsb;20;190;0,0294;0,4283;1257;8,006369426751592;;shrd200.gsb;20;190;0,0319;1,3751;909;5,789808917197452;;shrd200.gsb;20;190;0,0324;0,2222;696;4,43312101910828;;
shrd300.gsb;30;435;0,0936;38,8095;5862;21,394160583941606;;shrd300.gsb;30;435;0,0833;5,1794;3121;11,39051094890511;;shrd300.gsb;30;435;0,2168;2,6417;2238;8,167883211678832;;shrd300.gsb;30;435;0,0952;1,361;1617;5,901459854014599;;
str1000.gsb;100;4950;14,1418;638,2734;5157;1,2102792771649848;;str1000.gsb;100;4950;9,5585;33,0036;4765;1,118282093405304;;str1000.gsb;100;4950;16,1346;24,4284;4546;1,0668857075803801;;str1000.gsb;100;4950;15,3085;19,5759;4403;1,033325510443558;;
str300.gsb;30;435;0,1789;4,2992;4271;1,2354642753832803;;str300.gsb;30;435;0,179;0,334;3924;1,1350882267862308;;str300.gsb;30;435;0,185;0,3106;3768;1,089962395140295;;str300.gsb;30;435;0,1791;0,3264;3613;1,0451258316459358;;
str500.gsb;50;1225;1,4785;112,1327;4531;1,2383164799125443;;str500.gsb;50;1225;1,4712;2,7501;4121;1,1262640065591691;;str500.gsb;50;1225;1,5214;2,365;3962;1,0828095107952993;;str500.gsb;50;1225;1,1963;1,9352;3807;1,0404482098934136;;
str700.gsb;70;2415;3,4372;131,5422;4888;1,2355915065722953;;str700.gsb;70;2415;3,7017;7,5848;4397;1,1114762386248735;;str700.gsb;70;2415;3,3885;6,1407;4250;1,0743174924165824;;str700.gsb;70;2415;3,2933;5,0308;4100;1,0364004044489383;;
sym300.gsb;30;435;0,1425;0,9855;2057;2,1471816283924845;;sym300.gsb;30;435;0,232;0,3039;1023;1,067849686847599;;sym300.gsb;30;435;0,171;0,176;965;1,0073068893528183;;sym300.gsb;30;435;0,1553;0,1849;959;1,001043841336117;;
sym500.gsb;50;1225;1,1508;27,3648;3401;3,0974499089253187;;sym500.gsb;50;1225;1,0264;1,2538;1181;1,075591985428051;;sym500.gsb;50;1225;1,8154;1,2658;1119;1,0191256830601092;;sym500.gsb;50;1225;1,1463;1,1262;1113;1,0136612021857923;;
sym700.gsb;70;2415;3,0946;145,6107;3977;3,37892948173322;;sym700.gsb;70;2415;2,954;5,7148;1567;1,3313508920985557;;sym700.gsb;70;2415;3,2216;3,8604;1344;1,1418861512319456;;sym700.gsb;70;2415;3,3061;3,2896;1205;1,0237892948173322;;
